BOM EASY CHECK REV1 - CHIP,,1 batch has 8 chips ,,,,,,,,,,,,,,,,,
#,Parts,Value,Qty,Device,Package,Description,MPN, Unit Price  ,Total Price,Purchase Link,,,,,,,,,
1,"R2,R3",100R,16,R0402,R0402,Resistor,, ¥0.002 , ¥0.03 ,https://item.szlcsc.com/107447.html,1,,,,,,,,
2,R4,1k,8,R0402,R0402,Resistor,, ¥0.003 , ¥0.02 ,https://item.szlcsc.com/175251.html,1,,,,,,,,
3,U1,ERT-J1VR103J,8,NTC_SMD,R0603,NTC thermistor,ERT-J1VR103J, ¥1.080 , ¥8.64 ,https://item.szlcsc.com/164385.html,1,,,,,,,,
4,U2,Easycheck_chip,8,Easycheck_chip,5mmx2mm,Easy Check sensing paper strip ,, ¥-   , ¥-   ,N.A.,,,,,,,,,
5,U3,DS2411,8,DS2411,SOT23,1 Wire Serial Number IC,DS2411R+T&R, ¥3.900 , ¥31.20 ,https://item.szlcsc.com/16300.html,1,,,,,,,,
6,LED1,RED,8,LEDCHIPLED_0603,CHIPLED_0603,LED,, ¥0.050 , ¥0.40 ,https://detail.tmall.com/item.htm?id=41231498462,,,,,,,,,
7,LED2,GREEN,8,LEDCHIPLED_0603,CHIPLED_0603,LED,, ¥0.050 , ¥0.40 ,https://detail.tmall.com/item.htm?id=41231498462,,,,,,,,,
8,J1,6PIN_1.27_MALE,8,6PIN_1.27_MALE,6PIN_1.27,6x1 1.27mm pitch Male pin header,, ¥1.000 , ¥8.00 ,https://detail.tmall.com/item.htm?id=44143324234,,,,,,,,,
Total,,,,,,,,, ¥48.70 ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BOM EASY CHECK REV1 - Main Board,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#,Parts,Value,Qty,Device,Package,Description,MPN, Unit Price  ,Total Price,Purchase Link,,,,,,,,,
,"R3, R11, R13, R27, R28, R29, R31, R36, R42, R43, R56, R58, R76, R77, R80, R81",0R,16,R0603,R0603,Resistor,, ¥0.006 , ¥0.10 ,https://item.szlcsc.com/21903.html,1,,,,,,,,
,R34,0.001ohm,1,R1206,R1206,Resistor,, ¥0.500 , ¥0.50 ,https://item.szlcsc.com/165971.html,1,,,,,,,,
,R20,68R,1,R0603,R0603,Resistor,, ¥0.017 , ¥0.02 ,https://item.szlcsc.com/188933.html,1,,,,,,,,
,R33,200R,1,R0603,R0603,Resistor,, ¥0.016 , ¥0.02 ,https://item.szlcsc.com/339618.html,1,,,,,,,,
,R18,330R,1,R0603,R0603,Resistor,, ¥0.016 , ¥0.02 ,https://item.szlcsc.com/339635.html,1,,,,,,,,
,"R21, R22",1k,2,R0603,R0603,Resistor,, ¥0.006 , ¥0.01 ,https://item.szlcsc.com/21904.html,1,,,,,,,,
,R17,2.2k,1,R0603,R0603,Resistor,, ¥0.006 , ¥0.01 ,https://item.szlcsc.com/4597.html,1,,,,,,,,
, ,3.4k,1,R0603,R0603,Resistor,, ¥0.008 , ¥0.01 ,https://item.szlcsc.com/23724.html,1,,,,,,,,
,"R2, R4, R6, R7, R8, R9, R10, R15, R16, R19, R44, R45, R47, R50, R78",4.7k,15,R0603,R0603,Resistor,, ¥0.008 , ¥0.12 ,https://item.szlcsc.com/23889.html,1,,,,,,,,
,"R5, R37, R46, R48, R49, R51, R79, R83",10k,8,R0603,R0603,Resistor,, ¥0.006 , ¥0.05 ,https://item.szlcsc.com/26547.html,1,,,,,,,,
,"R55, R57, R61, R62, R65, R66, R69, R70","10k, 0.1%",8,R0603,R0603,Resistor,, ¥0.179 , ¥1.43 ,https://item.szlcsc.com/96405.html,1,,,,,,,,
,R30,24k,1,R0603,R0603,Resistor,, ¥0.006 , ¥0.01 ,https://item.szlcsc.com/263994.html,1,,,,,,,,
,R82,30k,1,R0603,R0603,Resistor,, ¥0.006 , ¥0.01 ,https://item.szlcsc.com/23711.html,1,,,,,,,,
,R32,66.5k,1,R0603,R0603,Resistor,, ¥0.007 , ¥0.01 ,https://item.szlcsc.com/23952.html,1,,,,,,,,
,"R25, R35",100k,2,R0603,R0603,Resistor,, ¥0.006 , ¥0.01 ,https://item.szlcsc.com/26546.html,1,,,,,,,,
,"R24, R40, R53, R74",130k,4,R0603,R0603,Resistor,, ¥0.006 , ¥0.02 ,https://item.szlcsc.com/279171.html,1,,,,,,,,
,"R26, R41, R54, R75",750k,4,R0603,R0603,Resistor,, ¥0.005 , ¥0.02 ,https://item.szlcsc.com/26748.html,1,,,,,,,,
,"R23, R39, R52, R73",1M,4,R0603,R0603,Resistor,, ¥0.006 , ¥0.02 ,https://item.szlcsc.com/175251.html,1,,,,,,,,
,"R59, R60, R63, R64, R67, R68, R71, R72","TBD, 1%",8,R0603,R0603,Resistor,,, ¥-   ,N.A.,,,,,,,,,
,"R1, R12, R14",DNP,3,R0603,R0603,Resistor,,, ¥-   ,N.A.,,,,,,,,,
,C5,100pF,1,C0603,C0603,Ceramic Capacitor,, ¥0.014 , ¥0.01 ,https://item.szlcsc.com/251398.html,1,,,,,,,,
,"C1, C4, C13, C15, C20, C21, C24, C32, C33, C34, C37, C38, C39, C46",0.1uF,14,C0603,C0603,Ceramic Capacitor,, ¥0.016 , ¥0.22 ,https://item.szlcsc.com/43989.html,1,,,,,,,,
,C23,1nF,1,C0603,C0603,Ceramic Capacitor,, ¥0.009 , ¥0.01 ,https://item.szlcsc.com/251401.html,1,,,,,,,,
,"C7, C27, C40, C41, C49",1uF,5,C0603,C0603,Ceramic Capacitor,, ¥0.050 , ¥0.25 ,https://item.szlcsc.com/16531.html,1,,,,,,,,
,f,10uF,5,C0603,C0603,Ceramic Capacitor,, ¥0.140 , ¥0.70 ,https://item.szlcsc.com/109559.html,1,,,,,,,,
,C36,2.2uF,1,C0603,C0603,Ceramic Capacitor,, ¥0.060 , ¥0.06 ,https://item.szlcsc.com/24366.html,1,,,,,,,,
,"C6, C8",22pF,2,C0603,C0603,Ceramic Capacitor,, ¥0.020 , ¥0.04 ,https://item.szlcsc.com/292465.html,11,,,,,,,,
,C25,3.3nF,1,C0603,C0603,Ceramic Capacitor,, ¥0.020 , ¥0.02 ,https://item.szlcsc.com/93394.html,1,,,,,,,,
